random_seed,StandardScaler95,StandardScaler75,RobustSigmoid95,RobustSigmoid75
16,0.47282608695652173,0.45108695652173914,0.5543478260869565,0.5108695652173914
32,0.44021739130434784,0.45652173913043476,0.5815217391304348,0.6521739130434783
64,0.43478260869565216,0.41304347826086957,0.5706521739130435,0.5652173913043478
128,0.5217391304347826,0.483695652173913,0.6358695652173914,0.5869565217391305
256,0.5054347826086957,0.45652173913043476,0.5760869565217391,0.5163043478260869
512,0.46195652173913043,0.46195652173913043,0.5815217391304348,0.5815217391304348
1024,0.45108695652173914,0.44021739130434784,0.5815217391304348,0.5815217391304348
2048,0.43478260869565216,0.42934782608695654,0.5760869565217391,0.5163043478260869
5096,0.45652173913043476,0.45652173913043476,0.5760869565217391,0.5489130434782609
10192,0.375,0.42934782608695654,0.5652173913043478,0.5869565217391305
